pdb_id,asym_id,chain_id,length,model_id,filename,is_membrane_env,Deposited Model Count
2IFJ,A,A,12,0,2IFJ.cif.gz,False,16
2JN5,A,A,12,0,2JN5.cif.gz,False,10
1MF6,A,A,12,0,1MF6.cif.gz,False,15
6RRL,A,A,12,0,6RRL.cif.gz,False,20
1RSW,A,A,12,0,1RSW.cif.gz,False,11
2N5R,A,A,12,0,2N5R.cif.gz,False,21
2LNE,A,A,13,0,2LNE.cif.gz,False,40
1GNA,A,A,13,0,1GNA.cif.gz,False,20
2LM8,A,A,13,0,2LM8.cif.gz,False,20
1D6X,A,A,13,0,1D6X.cif.gz,False,19
6A5J,A,A,13,0,6A5J.cif.gz,False,20
1LB0,A,A,13,0,1LB0.cif.gz,False,1
2JUQ,A,A,13,0,2JUQ.cif.gz,False,20
6GIL,A,A,13,0,6GIL.cif.gz,False,20
2NDM,A,A,13,0,2NDM.cif.gz,False,20
6OQP,A,A,13,0,6OQP.cif.gz,False,20
1S4H,A,A,13,0,1S4H.cif.gz,False,20
6QAX,A,A,13,0,6QAX.cif.gz,False,40
6QB0,A,A,13,0,6QB0.cif.gz,False,40
6QB1,A,A,13,0,6QB1.cif.gz,False,40
2FXZ,A,A,13,0,2FXZ.cif.gz,False,15
2NS4,A,A,14,0,2NS4.cif.gz,False,20
6CIX,A,B,14,0,6CIX.cif.gz,False,20
2MQ2,A,A,14,0,2MQ2.cif.gz,False,20
1NIZ,A,A,14,0,1NIZ.cif.gz,False,1
6CEJ,A,A,14,0,6CEJ.cif.gz,False,20
1JBN,A,A,14,0,1JBN.cif.gz,False,20
6NOX,A,A,14,0,6NOX.cif.gz,False,20
2MFV,A,A,14,0,2MFV.cif.gz,False,15
2MIH,A,A,14,0,2MIH.cif.gz,False,10
2LMB,A,A,15,0,2LMB.cif.gz,False,20
1R8T,A,A,15,0,1R8T.cif.gz,False,30
5NVB,A,A,15,0,5NVB.cif.gz,False,20
1ID6,A,A,15,0,1ID6.cif.gz,False,11
6BX9,A,A,15,0,6BX9.cif.gz,False,20
5EFM,A,A,15,0,5EFM.cif.gz,False,1
2LWU,A,A,15,0,2LWU.cif.gz,False,20
2N5C,A,A,15,0,2N5C.cif.gz,False,15
2JRV,A,A,15,0,2JRV.cif.gz,False,20
2XL1,A,A,15,0,2XL1.cif.gz,False,20
1KMR,A,A,15,0,1KMR.cif.gz,False,17
1O53,A,A,15,0,1O53.cif.gz,False,20
2LWQ,A,A,16,0,2LWQ.cif.gz,False,20
6MBM,A,A,16,0,6MBM.cif.gz,False,10
2MLQ,A,A,16,0,2MLQ.cif.gz,False,20
1RG3,A,A,16,0,1RG3.cif.gz,False,10
2IV4,A,A,16,0,2IV4.cif.gz,False,30
1KWD,A,A,16,0,1KWD.cif.gz,False,16
1KZ2,A,A,16,0,1KZ2.cif.gz,False,39
2MWL,A,A,16,0,2MWL.cif.gz,False,20
2N0X,A,A,16,0,2N0X.cif.gz,False,20
2BP4,A,A,16,0,2BP4.cif.gz,False,20
1UYA,A,A,16,0,1UYA.cif.gz,False,10
1KZ0,A,A,16,0,1KZ0.cif.gz,False,26
1MA4,A,A,17,0,1MA4.cif.gz,False,31
1EDP,A,A,17,0,1EDP.cif.gz,False,1
6COQ,A,A,17,0,6COQ.cif.gz,False,20
5XM4,A,A,17,0,5XM4.cif.gz,False,15
2LWV,A,A,17,0,2LWV.cif.gz,False,20
1MA2,A,A,17,0,1MA2.cif.gz,False,31
1V4Z,A,A,17,0,1V4Z.cif.gz,False,1
2LX4,A,A,17,0,2LX4.cif.gz,False,10
5JPL,A,A,17,0,5JPL.cif.gz,False,20
1EGT,A,A,17,0,1EGT.cif.gz,False,3
5V4C,A,A,17,0,5V4C.cif.gz,False,30
6COR,A,A,17,0,6COR.cif.gz,False,20
2B0Y,A,A,17,0,2B0Y.cif.gz,False,20
2P5J,A,A,17,0,2P5J.cif.gz,False,20
2JQW,A,A,17,0,2JQW.cif.gz,False,20
6COP,A,A,17,0,6COP.cif.gz,False,20
2OVN,A,A,17,0,2OVN.cif.gz,False,20
2A1C,A,A,17,0,2A1C.cif.gz,False,20
5GVO,A,A,18,0,5GVO.cif.gz,False,15
1HU5,A,A,18,0,1HU5.cif.gz,False,20
5UI6,A,A,18,0,5UI6.cif.gz,False,10
1HVZ,A,A,18,0,1HVZ.cif.gz,False,20
1EQX,A,A,18,0,1EQX.cif.gz,False,24
2L07,A,A,18,0,2L07.cif.gz,False,20
5OQZ,A,A,18,0,5OQZ.cif.gz,False,1
1B03,A,A,18,0,1B03.cif.gz,False,35
2MD6,A,A,18,0,2MD6.cif.gz,False,15
5Z26,A,A,18,0,5Z26.cif.gz,False,20
5OAP,A,A,18,0,5OAP.cif.gz,False,20
2LX5,A,A,18,0,2LX5.cif.gz,False,20
2M2Y,A,A,18,0,2M2Y.cif.gz,False,20
2RLG,A,A,18,0,2RLG.cif.gz,False,10
5YKK,A,A,18,0,5YKK.cif.gz,False,20
2NDE,A,A,18,0,2NDE.cif.gz,False,10
1PEF,A,A,18,0,1PEF.cif.gz,False,1
2LWT,A,A,18,0,2LWT.cif.gz,False,20
2RRS,A,A,18,0,2RRS.cif.gz,False,20
2MLJ,A,A,18,0,2MLJ.cif.gz,False,15
2FXY,A,A,18,0,2FXY.cif.gz,False,15
5TJ1,A,A,19,0,5TJ1.cif.gz,False,20
6CSK,A,A,19,0,6CSK.cif.gz,False,10
6CSZ,A,A,19,0,6CSZ.cif.gz,False,10
6CT1,A,A,19,0,6CT1.cif.gz,False,10
6MW6,A,A,19,0,6MW6.cif.gz,False,20
3NJW,A,A,19,0,3NJW.cif.gz,False,1
5UI7,A,A,19,0,5UI7.cif.gz,False,10
6CT4,A,A,19,0,6CT4.cif.gz,False,10
2GOF,A,A,19,0,2GOF.cif.gz,False,21
5KI0,A,A,19,0,5KI0.cif.gz,False,10
1TMR,A,A,19,0,1TMR.cif.gz,False,10
2CEH,A,A,19,0,2CEH.cif.gz,False,10
2LX6,A,A,19,0,2LX6.cif.gz,False,15
2CSA,A,A,19,0,2CSA.cif.gz,False,10
1BRV,A,A,19,0,1BRV.cif.gz,False,48
2ESX,A,A,19,0,2ESX.cif.gz,False,1
2M37,A,A,19,0,2M37.cif.gz,False,20
2MSU,A,A,20,0,2MSU.cif.gz,False,19
2M5L,A,A,20,0,2M5L.cif.gz,False,28
2AP7,A,A,20,0,2AP7.cif.gz,False,20
2LWB,A,A,20,0,2LWB.cif.gz,False,18
2MU8,A,A,20,0,2MU8.cif.gz,False,1
2MU6,A,A,20,0,2MU6.cif.gz,False,1
2MTY,A,A,20,0,2MTY.cif.gz,False,1
2N9C,A,A,20,0,2N9C.cif.gz,False,25
2L6S,A,A,20,0,2L6S.cif.gz,False,14
1DU1,A,A,20,0,1DU1.cif.gz,False,1
1L1K,A,A,20,0,1L1K.cif.gz,False,10
2MTW,A,A,20,0,2MTW.cif.gz,False,1
1SOL,A,A,20,0,1SOL.cif.gz,False,1
2LS1,A,A,20,0,2LS1.cif.gz,False,20
1ODP,A,A,20,0,1ODP.cif.gz,False,5
1DPK,A,A,20,0,1DPK.cif.gz,False,16
2N6U,A,A,20,0,2N6U.cif.gz,False,20
2MUF,A,A,20,0,2MUF.cif.gz,False,1
2MU7,A,A,20,0,2MU7.cif.gz,False,1
1HO7,A,A,20,0,1HO7.cif.gz,False,1
2MU9,A,A,20,0,2MU9.cif.gz,False,21
5XIV,A,A,20,0,5XIV.cif.gz,False,20
2MUE,A,A,20,0,2MUE.cif.gz,False,1
1IBO,A,A,20,0,1IBO.cif.gz,False,20
2N16,A,A,20,0,2N16.cif.gz,False,10
1M4E,A,A,20,0,1M4E.cif.gz,False,20
2N6M,A,A,21,0,2N6M.cif.gz,False,20
2MW3,A,A,21,0,2MW3.cif.gz,False,15
1PP5,A,A,21,0,1PP5.cif.gz,False,10
1BYY,A,A,21,0,1BYY.cif.gz,False,10
2L5I,A,A,21,0,2L5I.cif.gz,False,8
5ZCN,A,A,21,0,5ZCN.cif.gz,False,15
5V0Y,A,A,21,0,5V0Y.cif.gz,False,20
5Z1Y,A,A,21,0,5Z1Y.cif.gz,False,20
2MUJ,A,A,21,0,2MUJ.cif.gz,False,13
2MUA,A,A,21,0,2MUA.cif.gz,False,1
5M9U,A,A,21,0,5M9U.cif.gz,False,20
1V6R,A,A,21,0,1V6R.cif.gz,False,20
1S4T,A,A,21,0,1S4T.cif.gz,False,20
1RPB,A,A,21,0,1RPB.cif.gz,False,1
2NCU,A,A,21,0,2NCU.cif.gz,False,20
2MIX,A,A,21,0,2MIX.cif.gz,False,10
1EMZ,A,A,21,0,1EMZ.cif.gz,False,1
5XO3,A,A,21,0,5XO3.cif.gz,False,20
2N31,A,A,22,0,2N31.cif.gz,False,20
2LJ9,A,A,22,0,2LJ9.cif.gz,False,20
5KKM,A,A,22,0,5KKM.cif.gz,False,20
2M0H,A,A,22,0,2M0H.cif.gz,False,10
1SUT,A,A,22,0,1SUT.cif.gz,False,10
1SX0,A,A,22,0,1SX0.cif.gz,False,20
2LLR,A,A,22,0,2LLR.cif.gz,False,10
5Y22,A,A,22,0,5Y22.cif.gz,False,20
2M3F,A,A,22,0,2M3F.cif.gz,False,10
2BBL,A,A,22,0,2BBL.cif.gz,False,10
4TTL,A,A,22,0,4TTL.cif.gz,False,1
2LMA,A,A,22,0,2LMA.cif.gz,False,40
2JOS,A,A,22,0,2JOS.cif.gz,False,10
6GQC,A,A,22,0,6GQC.cif.gz,False,1
1CFG,A,A,22,0,1CFG.cif.gz,False,20
3JQH,A,A,23,0,3JQH.cif.gz,False,1
1WQE,A,A,23,0,1WQE.cif.gz,False,30
2M0W,A,A,23,0,2M0W.cif.gz,False,20
2IV6,A,A,23,0,2IV6.cif.gz,False,30
2JRW,A,A,23,0,2JRW.cif.gz,False,16
1WZ4,A,A,23,0,1WZ4.cif.gz,False,20
1MEQ,A,A,23,0,1MEQ.cif.gz,False,1
1KDL,A,A,23,0,1KDL.cif.gz,False,1
2NR1,A,A,23,0,2NR1.cif.gz,True,10
1JLZ,A,A,23,0,1JLZ.cif.gz,False,15
1B1V,A,A,23,0,1B1V.cif.gz,False,30
1VDA,A,A,23,0,1VDA.cif.gz,False,15
1VD8,A,A,23,0,1VD8.cif.gz,False,15
2LSA,A,A,23,0,2LSA.cif.gz,False,10
1OEG,A,A,23,0,1OEG.cif.gz,False,5
2LMF,A,A,23,0,2LMF.cif.gz,False,20
2LTI,A,A,23,0,2LTI.cif.gz,False,20
1VD7,A,A,23,0,1VD7.cif.gz,False,15
2LS4,A,A,24,0,2LS4.cif.gz,True,20
2OQ9,A,A,24,0,2OQ9.cif.gz,False,10
2LK9,A,A,24,0,2LK9.cif.gz,False,1
2K98,A,A,24,0,2K98.cif.gz,False,20
2NCX,A,A,24,0,2NCX.cif.gz,False,20
1Y32,A,A,24,0,1Y32.cif.gz,False,14
2LDF,A,A,24,0,2LDF.cif.gz,False,10
1ORX,A,A,24,0,1ORX.cif.gz,False,20
2PJV,A,A,24,0,2PJV.cif.gz,False,38
2KGN,A,A,24,0,2KGN.cif.gz,False,20
2MDL,A,A,24,0,2MDL.cif.gz,False,20
6ATS,A,A,24,0,6ATS.cif.gz,False,1
1SP7,A,A,24,0,1SP7.cif.gz,False,10
2M8F,A,A,24,0,2M8F.cif.gz,False,20
2KFE,A,A,24,0,2KFE.cif.gz,False,20
1OEI,A,A,24,0,1OEI.cif.gz,False,20
5UJG,A,A,24,0,5UJG.cif.gz,False,20
6G4I,A,A,24,0,6G4I.cif.gz,False,20
2LKQ,A,A,24,0,2LKQ.cif.gz,False,20
1OIG,A,A,24,0,1OIG.cif.gz,False,22
2FCG,A,F,25,0,2FCG.cif.gz,False,20
1G92,A,A,25,0,1G92.cif.gz,False,10
2LSQ,A,A,25,0,2LSQ.cif.gz,False,20
2M73,A,A,25,0,2M73.cif.gz,False,1
3MRA,A,A,25,0,3MRA.cif.gz,True,15
1FDF,A,A,25,0,1FDF.cif.gz,True,1
2LS2,A,A,25,0,2LS2.cif.gz,True,20
1MP6,A,A,25,0,1MP6.cif.gz,True,1
1HVW,A,A,25,0,1HVW.cif.gz,False,20
2JTW,A,A,25,0,2JTW.cif.gz,True,16
1T2Y,A,A,25,0,1T2Y.cif.gz,False,1
1A11,A,A,25,0,1A11.cif.gz,True,10
2LDE,A,A,25,0,2LDE.cif.gz,False,10
2LS9,A,A,25,0,2LS9.cif.gz,False,10
2RPW,A,X,25,0,2RPW.cif.gz,False,20
1ZRV,A,A,25,0,1ZRV.cif.gz,False,10
5VFW,A,A,25,0,5VFW.cif.gz,False,20
1P82,A,A,25,0,1P82.cif.gz,False,20
2KHF,A,A,25,0,2KHF.cif.gz,False,20
1CKW,A,A,25,0,1CKW.cif.gz,False,13
2HM3,A,A,25,0,2HM3.cif.gz,False,10
2NVJ,A,A,25,0,2NVJ.cif.gz,False,20
5W54,A,A,25,0,5W54.cif.gz,False,20
2KEF,A,A,25,0,2KEF.cif.gz,False,20
1CZ6,A,A,25,0,1CZ6.cif.gz,False,20
6R2X,A,A,25,0,6R2X.cif.gz,False,15
1WQC,A,A,26,0,1WQC.cif.gz,False,30
1G04,A,A,26,0,1G04.cif.gz,False,21
2M1A,A,A,26,0,2M1A.cif.gz,False,20
2MVL,A,A,26,0,2MVL.cif.gz,False,20
2MVJ,A,A,26,0,2MVJ.cif.gz,False,10
6GO0,A,A,26,0,6GO0.cif.gz,False,20
1YTR,A,A,26,0,1YTR.cif.gz,False,20
2M7E,A,A,26,0,2M7E.cif.gz,False,20
2DTB,A,A,26,0,2DTB.cif.gz,False,9
2LL2,A,A,26,0,2LL2.cif.gz,False,10
1H7J,A,A,26,0,1H7J.cif.gz,False,15
1FEO,A,A,26,0,1FEO.cif.gz,False,20
1OSX,A,A,26,0,1OSX.cif.gz,False,20
6DST,A,A,26,0,6DST.cif.gz,False,20
1HZ3,A,A,26,0,1HZ3.cif.gz,False,15
2KPA,A,A,26,0,2KPA.cif.gz,False,12
1EDW,A,A,26,0,1EDW.cif.gz,False,1
1YYB,A,A,26,0,1YYB.cif.gz,False,20
6EFE,A,A,27,0,6EFE.cif.gz,False,18
1BY0,A,A,27,0,1BY0.cif.gz,False,20
2LBG,A,A,27,0,2LBG.cif.gz,True,20
2LIF,A,A,27,0,2LIF.cif.gz,True,27
1SMZ,A,A,27,0,1SMZ.cif.gz,False,25
1E0N,A,A,27,0,1E0N.cif.gz,False,10
1D5Q,A,A,27,0,1D5Q.cif.gz,False,1
2MVA,A,A,27,0,2MVA.cif.gz,False,10
2NX6,A,A,27,0,2NX6.cif.gz,False,10
5GSF,A,A,27,0,5GSF.cif.gz,False,20
2LIX,A,A,27,0,2LIX.cif.gz,False,20
6GNZ,A,A,27,0,6GNZ.cif.gz,False,20
6NW8,A,A,27,0,6NW8.cif.gz,False,10
4NCU,A,A,27,0,4NCU.cif.gz,False,1
2L0L,A,A,27,0,2L0L.cif.gz,False,20
1ANS,A,A,27,0,1ANS.cif.gz,False,28
2MBD,A,A,27,0,2MBD.cif.gz,False,48
1MOT,A,A,28,0,1MOT.cif.gz,True,20
2MG2,A,A,28,0,2MG2.cif.gz,True,20
1DSK,A,A,28,0,1DSK.cif.gz,False,20
2K59,A,B,28,0,2K59.cif.gz,True,20
2MG3,A,A,28,0,2MG3.cif.gz,False,20
5WXE,A,A,28,0,5WXE.cif.gz,False,20
1AMC,A,A,28,0,1AMC.cif.gz,False,5
2EQQ,A,A,28,0,2EQQ.cif.gz,False,20
6POR,A,A,28,0,6POR.cif.gz,False,20
1DU9,A,A,28,0,1DU9.cif.gz,False,25
2MWD,A,A,28,0,2MWD.cif.gz,False,17
1V5A,A,A,28,0,1V5A.cif.gz,False,15
2NX7,A,A,28,0,2NX7.cif.gz,False,10
5LM0,A,A,28,0,5LM0.cif.gz,False,10
2KVX,A,A,28,0,2KVX.cif.gz,False,20
2NAT,A,A,28,0,2NAT.cif.gz,False,20
1YWJ,A,A,28,0,1YWJ.cif.gz,False,15
2AJJ,A,A,28,0,2AJJ.cif.gz,False,31
2M8M,A,A,28,0,2M8M.cif.gz,False,20
5N5B,A,A,28,0,5N5B.cif.gz,False,20
2K8J,A,X,29,0,2K8J.cif.gz,True,30
2LS3,A,A,29,0,2LS3.cif.gz,True,20
2MDU,A,A,29,0,2MDU.cif.gz,False,22
6Q5Z,A,A,29,0,6Q5Z.cif.gz,False,20
2LR7,A,A,29,0,2LR7.cif.gz,False,20
1JJZ,A,A,29,0,1JJZ.cif.gz,False,20
1P9I,A,A,29,0,1P9I.cif.gz,False,1
1KAL,A,A,29,0,1KAL.cif.gz,False,10
1CTI,A,A,29,0,1CTI.cif.gz,False,1
2MSF,A,A,29,0,2MSF.cif.gz,False,15
2RRI,A,A,29,0,2RRI.cif.gz,False,20
2LZO,A,A,29,0,2LZO.cif.gz,False,20
1ACW,A,A,29,0,1ACW.cif.gz,False,25
5WCV,A,A,29,0,5WCV.cif.gz,False,20
3E4H,A,A,29,0,3E4H.cif.gz,False,1
2LUR,A,A,29,0,2LUR.cif.gz,False,20
2RTZ,A,A,29,0,2RTZ.cif.gz,False,20
6GIG,A,A,30,0,6GIG.cif.gz,True,10
1SKH,A,A,30,0,1SKH.cif.gz,True,22
2RQ2,A,A,30,0,2RQ2.cif.gz,True,20
2M7X,A,A,30,0,2M7X.cif.gz,True,25
1Z65,A,A,30,0,1Z65.cif.gz,True,22
2N1P,A,A,30,0,2N1P.cif.gz,True,41
1ZTN,A,A,30,0,1ZTN.cif.gz,False,8
2OVC,A,A,30,0,2OVC.cif.gz,False,1
2MLU,A,A,30,0,2MLU.cif.gz,False,20
2MI9,A,A,30,0,2MI9.cif.gz,False,20
1BH4,A,A,30,0,1BH4.cif.gz,False,12
2RTY,A,A,30,0,2RTY.cif.gz,False,20
1D0R,A,A,30,0,1D0R.cif.gz,False,20
2L0N,A,A,30,0,2L0N.cif.gz,False,20
2MSO,A,A,30,0,2MSO.cif.gz,False,20
4B19,A,A,30,0,4B19.cif.gz,False,5
2KJM,A,A,30,0,2KJM.cif.gz,False,20
2K84,A,A,30,0,2K84.cif.gz,False,20
1ZR7,A,A,30,0,1ZR7.cif.gz,False,20
1EMX,A,A,30,0,1EMX.cif.gz,False,26
4BFH,A,A,30,0,4BFH.cif.gz,False,1
2N58,A,A,30,0,2N58.cif.gz,False,20
1ZUV,A,A,30,0,1ZUV.cif.gz,False,24
3E8Y,A,X,30,0,3E8Y.cif.gz,False,1
2LI3,A,A,30,0,2LI3.cif.gz,False,20
6GIF,A,A,30,0,6GIF.cif.gz,False,10
1HO0,A,A,30,0,1HO0.cif.gz,False,21
1JDM,A,A,31,0,1JDM.cif.gz,True,16
1BL1,A,A,31,0,1BL1.cif.gz,True,1
1G26,A,A,31,0,1G26.cif.gz,False,10
1FVY,A,A,31,0,1FVY.cif.gz,False,20
6FS4,A,A,31,0,6FS4.cif.gz,False,20
1PNH,A,A,31,0,1PNH.cif.gz,False,25
1R7C,A,A,31,0,1R7C.cif.gz,False,1
6CFB,A,A,31,0,6CFB.cif.gz,False,20
6F61,A,A,31,0,6F61.cif.gz,False,20
1EDS,A,A,31,0,1EDS.cif.gz,False,1
1RJI,A,A,31,0,1RJI.cif.gz,False,21
1PVZ,A,A,31,0,1PVZ.cif.gz,False,15
2WQ0,A,A,31,0,2WQ0.cif.gz,False,1
1K0P,A,A,31,0,1K0P.cif.gz,False,15
1T0C,A,A,31,0,1T0C.cif.gz,False,30
1AIE,A,A,31,0,1AIE.cif.gz,False,1
2AB9,A,A,31,0,2AB9.cif.gz,False,20
2B38,A,A,31,0,2B38.cif.gz,False,20
1BMX,A,A,31,0,1BMX.cif.gz,False,8
2CK5,A,A,31,0,2CK5.cif.gz,False,20
2GDL,A,A,31,0,2GDL.cif.gz,False,9
2KEG,A,A,32,0,2KEG.cif.gz,False,20
6F46,A,A,32,0,6F46.cif.gz,True,20
1WQB,A,A,32,0,1WQB.cif.gz,False,18
4RBX,A,A,32,0,4RBX.cif.gz,False,1
1Q2F,A,A,32,0,1Q2F.cif.gz,False,30
1HLL,A,A,32,0,1HLL.cif.gz,False,1
2L0G,A,A,32,0,2L0G.cif.gz,False,20
1HP3,A,A,32,0,1HP3.cif.gz,False,20
6MJV,A,A,32,0,6MJV.cif.gz,False,20
6CEI,A,A,32,0,6CEI.cif.gz,False,20
2LX0,A,A,32,0,2LX0.cif.gz,False,50
2GW9,A,A,32,0,2GW9.cif.gz,False,20
1HTX,A,A,32,0,1HTX.cif.gz,False,20
2N2S,A,A,32,0,2N2S.cif.gz,False,20
2M2Q,A,A,32,0,2M2Q.cif.gz,False,20
2MWF,A,A,32,0,2MWF.cif.gz,False,20
2RPS,A,A,32,0,2RPS.cif.gz,False,20
1BM4,A,A,32,0,1BM4.cif.gz,False,9
1EWS,A,A,32,0,1EWS.cif.gz,False,20
2KNP,A,A,33,0,2KNP.cif.gz,False,20
2KI9,A,A,33,0,2KI9.cif.gz,True,15
2DDL,A,A,33,0,2DDL.cif.gz,False,20
6Q1X,A,A,33,0,6Q1X.cif.gz,False,18
5UZL,A,A,33,0,5UZL.cif.gz,False,20
1R02,A,A,33,0,1R02.cif.gz,False,1
2L63,A,A,33,0,2L63.cif.gz,False,10
2JUI,A,A,33,0,2JUI.cif.gz,False,20
5UJR,A,A,33,0,5UJR.cif.gz,False,20
5NDA,A,A,33,0,5NDA.cif.gz,False,20
1BH7,A,A,33,0,1BH7.cif.gz,False,1
2KV5,A,A,33,0,2KV5.cif.gz,False,20
2M3J,A,A,33,0,2M3J.cif.gz,False,20
2BN6,A,A,33,0,2BN6.cif.gz,False,29
1C6W,A,A,33,0,1C6W.cif.gz,False,25
6OFA,A,A,33,0,6OFA.cif.gz,False,50
2NAJ,A,A,33,0,2NAJ.cif.gz,False,20
6AXD,A,A,33,0,6AXD.cif.gz,False,20
6PPC,A,A,33,0,6PPC.cif.gz,False,15
1W1N,A,A,33,0,1W1N.cif.gz,False,20
2DCO,A,A,34,0,2DCO.cif.gz,False,10
1I26,A,A,34,0,1I26.cif.gz,False,26
1HA9,A,A,34,0,1HA9.cif.gz,False,30
6BB6,A,A,34,0,6BB6.cif.gz,False,20
2EEM,A,A,34,0,2EEM.cif.gz,False,20
1IWC,A,A,34,0,1IWC.cif.gz,False,15
1EDV,A,A,34,0,1EDV.cif.gz,False,1
6KLM,A,A,34,0,6KLM.cif.gz,False,17
2RMY,A,A,34,0,2RMY.cif.gz,False,10
1LA4,A,A,34,0,1LA4.cif.gz,False,20
1TYK,A,A,34,0,1TYK.cif.gz,False,20
2KYA,A,A,34,0,2KYA.cif.gz,False,14
2L1J,A,A,34,0,2L1J.cif.gz,False,20
1ZJQ,A,A,34,0,1ZJQ.cif.gz,False,20
2RLW,A,A,34,0,2RLW.cif.gz,False,20
2KTC,A,A,34,0,2KTC.cif.gz,False,20
1QLO,A,A,34,0,1QLO.cif.gz,False,19
2JOU,A,A,34,0,2JOU.cif.gz,False,15
2K58,A,B,35,0,2K58.cif.gz,True,20
1IIJ,A,A,35,0,1IIJ.cif.gz,True,5
6ITH,A,A,35,0,6ITH.cif.gz,True,15
5LBJ,A,A,35,0,5LBJ.cif.gz,True,20
5NAO,A,A,35,0,5NAO.cif.gz,True,10
1CE4,A,A,35,0,1CE4.cif.gz,False,20
2KUS,A,A,35,0,2KUS.cif.gz,False,20
1C49,A,A,35,0,1C49.cif.gz,False,18
2JPK,A,A,35,0,2JPK.cif.gz,False,20
1TSK,A,A,35,0,1TSK.cif.gz,False,30
6AHZ,A,A,35,0,6AHZ.cif.gz,False,20
2MQU,A,A,35,0,2MQU.cif.gz,False,20
2KKG,A,A,35,0,2KKG.cif.gz,False,20
2LHU,A,A,35,0,2LHU.cif.gz,False,20
1KJ0,A,A,35,0,1KJ0.cif.gz,False,10
1SPF,A,A,35,0,1SPF.cif.gz,False,20
1FWO,A,A,35,0,1FWO.cif.gz,False,10
1YRF,A,A,35,0,1YRF.cif.gz,False,1
1LMR,A,A,35,0,1LMR.cif.gz,False,21
2KGU,A,A,35,0,2KGU.cif.gz,False,20
4LFQ,A,A,35,0,4LFQ.cif.gz,False,1
1Y03,A,A,35,0,1Y03.cif.gz,False,20
1KGM,A,A,35,0,1KGM.cif.gz,False,10
1WR3,A,A,36,0,1WR3.cif.gz,False,20
1AZ6,A,A,36,0,1AZ6.cif.gz,False,23
1BBA,A,A,36,0,1BBA.cif.gz,False,1
6U6G,A,A,36,0,6U6G.cif.gz,False,19
2KYJ,A,A,36,0,2KYJ.cif.gz,False,20
2WH9,A,A,36,0,2WH9.cif.gz,False,20
2NCT,A,A,36,0,2NCT.cif.gz,False,20
5FZX,A,A,36,0,5FZX.cif.gz,False,20
2NLS,A,A,36,0,2NLS.cif.gz,False,1
1BY6,A,A,36,0,1BY6.cif.gz,False,19
2LG6,A,A,36,0,2LG6.cif.gz,False,10
4B2U,A,A,36,0,4B2U.cif.gz,False,20
2B5B,A,A,36,0,2B5B.cif.gz,False,10
1MM0,A,A,36,0,1MM0.cif.gz,False,20
1RKL,A,A,36,0,1RKL.cif.gz,True,20
2JYP,A,A,36,0,2JYP.cif.gz,False,1
1Q3J,A,A,36,0,1Q3J.cif.gz,False,10
1AXH,A,A,37,0,1AXH.cif.gz,False,20
1HD6,A,A,37,0,1HD6.cif.gz,False,20
2JP6,A,A,37,0,2JP6.cif.gz,False,25
2N7I,A,A,37,0,2N7I.cif.gz,True,10
